city,state,country,greenspacearea_km2,adjusted_obesity_rate,adjusted_smoking_rate,adjusted_exercising_rate,adjusted_chronic_rate,adjusted_life_expectancy,population_city,population_state
Haiku-Pauwela,Hawaii,United States,118.33,0.1668449305920406,0.06763983672650295,0.35688066234745364,0.08310037083541791,0.5198604594122656,9245.0,1435138
Southwick,Massachusetts,United States,27.05,0.03591236551437791,0.014127290845729544,0.07050442347308016,0.021124920890810535,0.10430429689837702,9244.0,7001399
Fallon,Nevada,United States,31.59,0.09693908538540143,0.04311619021619347,0.1455533132801699,0.04687800546995531,0.2207896183554068,9243.0,3194176
Hailey,Idaho,United States,1.21,0.1561040063601744,0.05830390598994466,0.2689502760181318,0.07711161759960422,0.3686311475493275,9238.0,1964726
Riverside,Illinois,United States,18.42,0.02455160442621327,0.00940899810345898,0.036753898841636636,0.01146721643859063,0.05645398862075386,9225.0,12549689
Mount Pleasant,Iowa,United States,96.38,0.10745343629131737,0.04453284124372779,0.1393446967948902,0.045969384509654494,0.22266420621863894,9214.0,3207004
Shawano,Wisconsin,United States,5.51,0.05875402536476763,0.023376933169005687,0.08571542161968752,0.026493857591539778,0.12109251381544946,9212.0,5910955
Waseca,Minnesota,United States,6.63,0.0539200737550138,0.021503838938011458,0.09307631779139287,0.02359003226781854,0.12693684029826166,9208.0,5737915
O'Hara,Pennsylvania,United States,4.2,0.023722258907273072,0.011079857453696405,0.0360805614517806,0.013139574544447662,0.05454699054127461,9206.0,12961683
Palm Beach,Florida,United States,28.39,0.012864602401532796,0.004885292051214986,0.022105946531747807,0.006717276570420605,0.03155084449743011,9205.0,22610726
Freetown,Massachusetts,United States,231.06,0.035737543310986844,0.014058518876013207,0.07016120635318741,0.021022084300580498,0.1037965412341162,9199.0,7001399
Blackstone,Massachusetts,United States,108.77,0.035722003559574306,0.014052405812038421,0.0701306981647525,0.021012943270337828,0.10375140739729302,9195.0,7001399
Conshohocken,Pennsylvania,United States,120.92,0.023660415086528497,0.01105097231586361,0.03598649959268406,0.013105319733556204,0.05440478678579008,9182.0,12961683
Salisbury,Massachusetts,United States,213.97,0.03567149936748355,0.014032538354120367,0.07003154655233904,0.02098323492204915,0.10360472242761767,9182.0,7001399
Maidencreek,Pennsylvania,United States,86.27,0.023655261434799783,0.01104856522104421,0.03597866110442602,0.013102465165981916,0.05439293647283304,9180.0,12961683
Grants,New Mexico,United States,0.38,0.14062565178958658,0.06727461736847506,0.2348101161054517,0.0716149152632154,0.32335219315815433,9177.0,2114371
Ahuimanu,Hawaii,United States,41.87,0.1656177315352252,0.06714232359536156,0.35425568830314574,0.08248914041715849,0.5160367156329217,9177.0,1435138
Ivins,Utah,United States,3.83,0.0834796973667348,0.018521219029918653,0.15004871648876125,0.041337213487064824,0.2109808428625516,9174.0,3417734
Rockingham,North Carolina,United States,261.06,0.028871178980260336,0.012615265888735454,0.04267177186525281,0.015070586095267858,0.06443098886797101,9174.0,10835491
Tuskegee,Alabama,United States,330.47,0.06877324082288466,0.029089464786703177,0.08242015022899234,0.04040203442597663,0.13144128533251065,9173.0,5108468
Waterford,California,United States,247.85,0.006609398803696417,0.0023285782262133284,0.012889503716817212,0.003410543866676087,0.01858158382533868,9165.0,38965193
Micco,Florida,United States,120.57,0.012807302162699243,0.004863532466847813,0.022007484412486355,0.006687357141915744,0.03141031384839213,9164.0,22610726
Incline Village,Nevada,United States,6.97,0.0961000583562083,0.04274301103007473,0.14429352045723215,0.04647226702598729,0.21887864037548335,9163.0,3194176
Chesterfield,New Jersey,United States,186.84,0.028640076824046394,0.010530887354546268,0.05027698011997489,0.013188214070179439,0.07627511868947064,9144.0,9290841
Helotes,Texas,United States,58.25,0.010637209395796213,0.00359567641548041,0.014802201243727687,0.004974019041414568,0.022922437148687615,9140.0,30503301
Oakland,Tennessee,United States,77.98,0.04988530817910474,0.024622054422591546,0.06117041645612587,0.02923868962682746,0.09464102168683625,9139.0,7126489
Forestdale,Alabama,United States,270.01,0.06851083338488172,0.028978472606660154,0.0821056723855371,0.040247878620361326,0.13093976511157554,9138.0,5108468
Delta,Colorado,United States,20.68,0.038863585709157294,0.01694452336919258,0.09202897095928447,0.023007242739821118,0.12172075044108063,9137.0,5877610
Smithville,New Jersey,United States,130.42,0.028611887772054218,0.010520522307937461,0.05022749490332136,0.013175233544519813,0.07620004475375264,9135.0,9290841
North Codorus,Pennsylvania,United States,74.81,0.02352899696744628,0.010989591397968922,0.03578661814210392,0.013032528260411862,0.05410260380538546,9131.0,12961683
Crawford,New York,United States,59.05,0.014032464819763883,0.005361240711869921,0.0236360786166787,0.0073192590588137185,0.03622333941846025,9124.0,19571216
Miramar Beach,Florida,United States,34.67,0.012738821389459145,0.004837527109921194,0.0218898101723934,0.006651599776141642,0.031242362584907712,9115.0,22610726
Tiburon,California,United States,51.3,0.006573340981526769,0.00231587458068025,0.012819184547603805,0.0033919375171579413,0.01848021130037775,9115.0,38965193
Stillwater,New York,United States,131.39,0.014015547117767237,0.005354777138017382,0.023607582686737506,0.007310434875380252,0.0361796681412131,9113.0,19571216
Dallas,Pennsylvania,United States,79.91,0.02346972997256606,0.010961909807545826,0.0356964755271364,0.01299970073330755,0.05396632520637945,9108.0,12961683
McFarland,Wisconsin,United States,150.81,0.05806520266183722,0.023102865780571837,0.08471050786209673,0.026183247884648084,0.11967284474336212,9104.0,5910955
Cameron,Missouri,United States,102.45,0.0534648256112338,0.026144887249449498,0.06624350645787486,0.025851124471365797,0.11030792317043017,9101.0,6196156
Benton Harbor,Michigan,United States,0.01,0.031281890547630475,0.01450754344237935,0.04696817189470314,0.01740905213085522,0.06891083135130191,9101.0,10037261
Orosi,California,United States,85.17,0.006562523634875876,0.002312063487020326,0.012798088796839784,0.003386355612302498,0.018449799542889472,9100.0,38965193
McCordsville,Indiana,United States,22.62,0.049983190519540456,0.02240625781910434,0.061782935761553984,0.025057885963377043,0.09943605541022638,9098.0,6862199
Springfield,Vermont,United States,85.7,0.3765454141079658,0.1924877676596691,0.8668974645694587,0.23182833331274016,1.1071559190935711,9097.0,647464
Riverside,Connecticut,United States,18.42,0.07692348948461451,0.025892547114102275,0.13499318252692155,0.040221432410255956,0.1970850188102542,9093.0,3617176
Chillicothe,Missouri,United States,249.92,0.05340607951123244,0.026116159760987294,0.06617071939441163,0.025822719763672834,0.11018671899158122,9091.0,6196156
New Scotland,New York,United States,0.17,0.013975559822138798,0.005339499599820471,0.02354022867051286,0.007289577714537513,0.03607644512226527,9087.0,19571216
Little Falls,Minnesota,United States,41.98,0.05319395634128425,0.02121425639801217,0.09182290082721685,0.023272355899311856,0.12522743888677332,9084.0,5737915
Midland,Washington,United States,1.04,0.03684527344589959,0.011739345798220375,0.06822768300549863,0.018364521149691282,0.09205506804149047,9081.0,7812880
Hooper,Utah,United States,2.76,0.08262433530520515,0.018331444167392782,0.14851126506626905,0.040913657996789685,0.20881905964595254,9080.0,3417734
Commerce,Texas,United States,11.7,0.010565053270791904,0.0035712856126620526,0.014701792438792115,0.0049402784308491725,0.022766945780720586,9078.0,30503301
