system:index,city,greenSpaceArea_m2,.geo
00000000000000000c16,East Longmeadow,6.725672321456212E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000183,East Los Angeles,1.5302948046098769E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a1d,East Massapequa,1.15960035815701E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000534,East Meadow,5.0397950648736E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000de5,East Milton,2.125832428957522E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000980,East Moline,1.2872962012780344E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000067b,East Niles,3.178041072948614E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000de4,East Norriton,1.1711495934218177E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009ce,East Northport,4.271950614942971E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ee,East Nottingham,2.79385822290262E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d3,East Orange,3.51117828449011E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
